800 800
60 (45.44,-73.6352) 
1 (45.417163629538706,-73.55352451757003)
1 (45.36667705749535,-73.25598883522854)
1 (45.47694383630881,-73.40137609397772)
1 (45.377772281595476,-73.42281179067601)
1 (45.60221878555774,-73.4633319565614)
1 (45.30755814012175,-73.64334522491377)
1 (45.39027231128955,-73.47181534366793)
1 (45.25794024770997,-73.56969633991898)
1 (45.369576073226604,-73.68129491292946)
1 (45.62184656600066,-73.37035996625552)
1 (45.35937599444873,-73.72685071301983)
1 (45.59850507405833,-73.6712429034099)
1 (45.733713284192376,-73.66431555907556)
1 (45.31055159680375,-73.61972309996445)
1 (45.29729289322311,-73.43709358131318)
1 (45.32632752948425,-73.61738295311059)
1 (45.64516284695272,-73.4869258820633)
1 (45.56309085054578,-73.41891099597164)
1 (45.68334384684563,-73.43241622401445)
1 (45.60985195668412,-73.43089712121244)
1 (45.43334900408565,-73.6800475564229)
1 (45.46215911563964,-73.66485171074521)
1 (45.32995971834181,-73.50771307815754)
1 (45.50539663250334,-73.40375960982207)
1 (45.448674324336686,-73.57045380923843)
1 (45.318022208626786,-73.73083525554445)
1 (45.46692176602684,-73.42213726781726)
1 (45.49165810339728,-73.6428759589072)
1 (45.67143364723515,-73.52522996727186)
1 (45.68106399048392,-73.5287155114667)
1 (45.47309355760206,-73.33360946965412)
1 (45.50375791363739,-73.3357609633054)
1 (45.680133425663186,-73.38052967203869)
1 (45.706414658269736,-73.27445086800492)
1 (45.7107224565355,-73.38539577941319)
1 (45.70315953475855,-73.42170363949471)
1 (45.4967948732481,-73.70892371708496)
1 (45.66948849034252,-73.58003030234467)
1 (45.542388771879004,-73.53655152897046)
1 (45.344783947355914,-73.72896620056628)
1 (45.45181869946253,-73.45463813947755)
1 (45.556259150736366,-73.36983188298649)
1 (45.7356807911965,-73.60302808361355)
1 (45.72765169490308,-73.513563757559)
1 (45.33598988773176,-73.34097870974759)
1 (45.27710065269579,-73.49446046335076)
1 (45.58567372442583,-73.35123914819172)
1 (45.340379715413604,-73.71017172422296)
1 (45.73220040746621,-73.32923853798046)
1 (45.6780220832313,-73.29011149307215)
1 (45.7102907522718,-73.3608838688676)
1 (45.43786112452021,-73.58070786316337)
1 (45.54446812532842,-73.28338569814832)
1 (45.64812431163015,-73.70650792498189)
1 (45.59862425538159,-73.74882323302845)
1 (45.41045581248419,-73.32113563378248)
1 (45.366829892334415,-73.36982776346757)
1 (45.74710675025731,-73.50145688844012)
1 (45.61729543652669,-73.72080697585804)
1 (45.43202032300724,-73.56203595505963)
1 (45.45968713542861,-73.59655013625014)
1 (45.40165220059106,-73.37507314799474)
1 (45.304930304009005,-73.29284750730324)
1 (45.49810486518252,-73.5734940845652)
1 (45.72618189660452,-73.27092499425112)
1 (45.34451810987318,-73.29171619311758)
1 (45.409830329098156,-73.39903815361767)
1 (45.59064571411538,-73.35984867086917)
1 (45.7061815327266,-73.53048782266289)
1 (45.59516216328488,-73.61268783270819)
1 (45.25091570473948,-73.47761215643615)
1 (45.330481078793426,-73.7048495801573)
1 (45.73045017186206,-73.47597830532973)
1 (45.40573051095136,-73.53773713639049)
1 (45.607019544416715,-73.5020396453314)
1 (45.604018651758146,-73.60277164734786)
1 (45.5025850908495,-73.31094248845362)
1 (45.7212365509607,-73.7284196521721)
1 (45.464610989387126,-73.29895930620317)
1 (45.2753828185749,-73.3860310978082)
1 (45.50129609128672,-73.26719317290421)
1 (45.32775866083243,-73.36135770896401)
1 (45.57902532847972,-73.36974159264771)
1 (45.7203697379282,-73.73485145841342)
1 (45.720605990235576,-73.47042520626042)
1 (45.487484690588076,-73.73444875960743)
1 (45.42927946747808,-73.30748046715333)
1 (45.54353843797721,-73.62952605794872)
1 (45.390550440662174,-73.27528283558686)
1 (45.484431650836946,-73.42406857663067)
1 (45.271550572881665,-73.27621043358822)
1 (45.46476603921551,-73.68082362639898)
1 (45.44595510477801,-73.4741756989408)
1 (45.62966847235969,-73.36631618560234)
1 (45.6213962829465,-73.3941458068483)
1 (45.486595119084775,-73.64908426821535)
1 (45.63586833197023,-73.65914053838164)
1 (45.399870125316454,-73.61034747123863)
1 (45.61979449333832,-73.73773908171378)
1 (45.57870160053291,-73.33755240478443)
1 (45.291227532124935,-73.39104548442465)
1 (45.50803112729907,-73.36684418094302)
1 (45.36308071914354,-73.55835526110076)
1 (45.7408109376221,-73.42049363708949)
1 (45.39333723584405,-73.70543364080858)
1 (45.3301666054195,-73.34966541367342)
1 (45.40186149878192,-73.67835901693238)
1 (45.43039103625684,-73.64164250004342)
1 (45.71073714784369,-73.35930301695922)
1 (45.73682905713801,-73.28372830763918)
1 (45.738981547268295,-73.40841159969516)
1 (45.46644993273189,-73.69352781733927)
1 (45.397038129155256,-73.59811961524944)
1 (45.503268881891024,-73.32716480238109)
1 (45.28162311319143,-73.70277425442107)
1 (45.645766202508696,-73.46322263947383)
1 (45.56730435108727,-73.59736051554714)
1 (45.59706683194742,-73.53080152028818)
1 (45.3276155188035,-73.64441526405191)
1 (45.432880483273735,-73.70506569358211)
1 (45.49555977636122,-73.60788390198712)
1 (45.267066570037265,-73.33300938605898)
1 (45.29103299113625,-73.72671715068387)
1 (45.71017602135711,-73.5759009961876)
1 (45.70099690863088,-73.70942284093064)
1 (45.48243531454355,-73.46297009994173)
1 (45.49715900568133,-73.27358121897873)
1 (45.69937656968555,-73.34338280710041)
1 (45.31546617068962,-73.45149969171922)
1 (45.39568081568046,-73.50040613169004)
1 (45.50189516486902,-73.71472614732835)
1 (45.2907894755678,-73.45289252713937)
1 (45.74982387865186,-73.53605811937325)
1 (45.62845284088899,-73.71482136969482)
1 (45.51569277700351,-73.30797753911247)
1 (45.64162240197029,-73.51361458752525)
1 (45.301717004775234,-73.5711094455561)
1 (45.303957051520364,-73.68229893949209)
1 (45.63708532552719,-73.27534534452765)
1 (45.52970162116406,-73.63931815341311)
1 (45.47238277444084,-73.29969033303134)
1 (45.37480966137952,-73.55290344904206)
1 (45.725899811732646,-73.694685957294)
1 (45.57392000775122,-73.45439147706955)
1 (45.38504137563967,-73.58342852875752)
1 (45.420160911936144,-73.71673423085872)
1 (45.37122526137785,-73.36374594514598)
1 (45.55774288974389,-73.45067583864655)
1 (45.32245973335045,-73.29501375398084)
1 (45.71091536361993,-73.49167670799966)
1 (45.53421635224606,-73.72838423704066)
1 (45.717099985286794,-73.25564594358572)
1 (45.52626457127744,-73.64887043294219)
1 (45.466877332305536,-73.330898457721)
1 (45.57081045683127,-73.34176962540694)
1 (45.47899131175031,-73.74748353206525)
1 (45.52558288842229,-73.37432920327271)
1 (45.35464948903038,-73.42313723019244)
1 (45.46443603856438,-73.69635049950104)
1 (45.26213543262089,-73.32759135637045)
1 (45.38758793512277,-73.51059411948657)
1 (45.400112695005625,-73.4338274029445)
1 (45.72379072928833,-73.6453936942691)
1 (45.57598803694895,-73.5360939947533)
1 (45.40752882720796,-73.47780229520451)
1 (45.61431530975575,-73.51011208746542)
1 (45.525767082276886,-73.505889292551)
1 (45.27945895973629,-73.57087277314561)
1 (45.38082193133205,-73.45347307805632)
1 (45.25660009287573,-73.54778747665276)
1 (45.30860408636135,-73.3096182314985)
1 (45.485655902518616,-73.64568145328097)
1 (45.72478217876239,-73.45864341721384)
1 (45.283796657844505,-73.59322651915213)
1 (45.645342737208495,-73.54417968887789)
1 (45.723982794887185,-73.49788953763247)
1 (45.34257230284825,-73.43298636476605)
1 (45.65930782562642,-73.6283287290804)
1 (45.352663628379375,-73.6007750069976)
1 (45.595921112084646,-73.7314002408768)
1 (45.74694835488655,-73.45320971733963)
1 (45.320917884928164,-73.3615429303181)
1 (45.41518475017881,-73.52054513365646)
1 (45.285822093144105,-73.55528980320295)
1 (45.586379340873826,-73.62403141507636)
1 (45.73115087960012,-73.52300990405621)
1 (45.43029764146455,-73.50625834157839)
1 (45.41303810392627,-73.35371517654983)
1 (45.341119374839025,-73.54602887200879)
1 (45.55900704553367,-73.53687183936464)
1 (45.403619981843,-73.54114524670726)
1 (45.33672127951329,-73.39763689692661)
1 (45.58181028437868,-73.63965882886858)
1 (45.66690563302733,-73.31879526862039)
1 (45.35014275824471,-73.33167780859672)
1 (45.64961747052213,-73.38390393175636)
1 (45.30819285174746,-73.47974480178603)
1 (45.70166205443418,-73.32175465950884)
1 (45.28115017153747,-73.66608943385143)
1 (45.722183646422565,-73.36224759479359)
1 (45.51050487572004,-73.66972895260848)
1 (45.713327641492,-73.32812328210613)
1 (45.28199031658755,-73.65543280252479)
1 (45.283357052368636,-73.4857311797202)
1 (45.72114406248884,-73.65998518235013)
1 (45.3507200899845,-73.3611183476676)
1 (45.510774842405034,-73.69897246764893)
1 (45.649303903825235,-73.39520227458594)
1 (45.44917400159383,-73.28949041133613)
1 (45.30747259673833,-73.46364728722456)
1 (45.573085733817095,-73.39070903034124)
1 (45.33647614274109,-73.42329470249508)
1 (45.515251201621524,-73.70515089598302)
1 (45.31743007580305,-73.4676019840753)
1 (45.352767231315624,-73.45883181027813)
1 (45.42030399857169,-73.67852686071598)
1 (45.429551475196924,-73.68808043029394)
1 (45.62322030608223,-73.25164792140467)
1 (45.50388113110566,-73.70489681025495)
1 (45.6258528220242,-73.4450433328348)
1 (45.58027368153311,-73.2911273453404)
1 (45.466828289229184,-73.36055510009633)
1 (45.43390348572638,-73.28452695795288)
1 (45.26177199815767,-73.70854675102088)
1 (45.62529897077601,-73.56694712128204)
1 (45.27600192712056,-73.73411749053201)
1 (45.73324098079879,-73.54643133794973)
1 (45.73386438808422,-73.493966719695)
1 (45.60458366879408,-73.54091760342683)
1 (45.345317085379946,-73.66870807088168)
1 (45.631144885337214,-73.52154052748081)
1 (45.49960409472866,-73.57541257277721)
1 (45.41586400252985,-73.45819354375088)
1 (45.435730245396655,-73.5095161821517)
1 (45.68310094431103,-73.52905468565694)
1 (45.449930968364505,-73.49395710735647)
1 (45.421250607122744,-73.70919748545745)
1 (45.341446777784526,-73.44651420406618)
1 (45.519773181674196,-73.74120133455696)
1 (45.329649762867966,-73.69379781636378)
1 (45.57729113785455,-73.71284375297267)
1 (45.597933073253316,-73.66220020381716)
1 (45.6125797851087,-73.42349985070557)
1 (45.432762198220374,-73.46234284877337)
1 (45.60607896910531,-73.4117924867262)
1 (45.62990058246408,-73.4541637964525)
1 (45.63597917853524,-73.44232925145141)
1 (45.43406001528912,-73.73476829814425)
1 (45.3499862325904,-73.40903062295013)
1 (45.26308984810422,-73.33052169384808)
1 (45.631544464812976,-73.50659652199883)
1 (45.34330707352682,-73.69859385058648)
1 (45.57759912118716,-73.65007656785477)
1 (45.6486828005456,-73.45127008045075)
1 (45.30390428880255,-73.48530198192651)
1 (45.693338797410775,-73.50882360530616)
1 (45.633433870809505,-73.43010561170063)
1 (45.274171262485844,-73.66360062428924)
1 (45.40362830693932,-73.51779885126487)
1 (45.69840686952554,-73.29919893117511)
1 (45.449011246055846,-73.38029283585074)
1 (45.35950996746365,-73.25422695969088)
1 (45.27713533211745,-73.50854374220796)
1 (45.74409750218775,-73.55011031776579)
1 (45.557867886209536,-73.46267038323398)
1 (45.562382063725465,-73.41676852098206)
1 (45.28870232885614,-73.47313498693751)
1 (45.69515125629652,-73.74871495391218)
1 (45.38208248260343,-73.37779610979904)
1 (45.541405292850165,-73.30723869399537)
1 (45.44465236852653,-73.57743572507502)
1 (45.63251262382453,-73.65180712262246)
1 (45.68289502099314,-73.66453027504814)
1 (45.55110701204956,-73.4356840342761)
1 (45.67479964883032,-73.58657854575571)
1 (45.255937480468944,-73.33698797776592)
1 (45.69299712328065,-73.64621733765917)
1 (45.36749608936392,-73.51702147038232)
1 (45.35122972828668,-73.31564856686208)
1 (45.31348650194257,-73.602681891943)
1 (45.573071696155736,-73.25256965957134)
1 (45.46805989654959,-73.27912044606234)
1 (45.74949309109433,-73.54884196620262)
1 (45.544232706303816,-73.6525460936977)
1 (45.46015996197506,-73.62154991259699)
1 (45.51501440280103,-73.6011767520654)
1 (45.28229013724619,-73.2688965677772)
1 (45.745511226981826,-73.37482046683142)
1 (45.500433956511834,-73.26054922562803)
1 (45.31563570213755,-73.7304250050949)
1 (45.46072583619788,-73.41359170280549)
1 (45.70103946771931,-73.40216437526419)
1 (45.3839527588857,-73.42115783297169)
1 (45.55850076525564,-73.70023661779233)
1 (45.66321195642829,-73.2511138629778)
1 (45.331235673308996,-73.51252749423543)
1 (45.52398043027231,-73.71682507934543)
1 (45.74946593866707,-73.44765015393097)
1 (45.417095254479946,-73.34108532462714)
1 (45.55206422753378,-73.30660144050972)
1 (45.64844384102061,-73.38770577675835)
1 (45.39621100054996,-73.50338090898259)
1 (45.52308955444362,-73.42305242891968)
1 (45.45373558925184,-73.47239901474182)
1 (45.696108567668226,-73.49198968312754)
1 (45.6151770539891,-73.50235662886253)
1 (45.4775898742324,-73.44923045461832)
1 (45.53558911470682,-73.32250812061245)
1 (45.535050842042565,-73.67801101217523)
1 (45.45972630172615,-73.63782624799437)
1 (45.272946831358105,-73.3533019883092)
1 (45.35848691914833,-73.6645669988006)
1 (45.646003871773885,-73.56643481523535)
1 (45.39335195701897,-73.55708844401595)
1 (45.28077936162061,-73.52206562061191)
1 (45.60104674644607,-73.44050785903002)
1 (45.53815648833072,-73.64681720039492)
1 (45.456766226697106,-73.57188699830112)
1 (45.548403823235674,-73.3117318173841)
1 (45.63104218232193,-73.44511568609187)
1 (45.28998231896952,-73.46783621097234)
1 (45.30269470669451,-73.43151973354205)
1 (45.46345779920837,-73.32566296207949)
1 (45.328298146355856,-73.30944905348622)
1 (45.73267764359975,-73.2754901238671)
1 (45.39720504791542,-73.28170799893986)
1 (45.36679646558695,-73.54535431768684)
1 (45.52040994996117,-73.30966991057456)
1 (45.41878592061477,-73.62856027663031)
1 (45.311398333297284,-73.30727347797404)
1 (45.31873993153637,-73.28145281872733)
1 (45.51761387411135,-73.43682919551236)
1 (45.64358734013024,-73.39563515026298)
1 (45.65229102020133,-73.43166927812206)
1 (45.3487494449434,-73.2866106019254)
1 (45.358137557739376,-73.53815513927083)
1 (45.41183129554788,-73.41299250739216)
1 (45.30671572135668,-73.32141210357717)
1 (45.643610664601546,-73.7469701599535)
1 (45.50035820647107,-73.71539103478611)
1 (45.3673900387543,-73.45763672633952)
1 (45.2970689206324,-73.31846253366551)
1 (45.25420224659033,-73.74407788157949)
1 (45.32309678967879,-73.54072957868867)
1 (45.32841157006018,-73.56478788113755)
1 (45.672733691972454,-73.29859998076742)
1 (45.52592758454395,-73.65402298555148)
1 (45.42037643295746,-73.52589042181565)
1 (45.695549964859374,-73.59411969683237)
1 (45.4860056481532,-73.32883960003949)
1 (45.58288821591952,-73.32559869723086)
1 (45.301972849908886,-73.65488798007915)
1 (45.62585117693762,-73.3240430977664)
1 (45.52635013926944,-73.37193770611478)
1 (45.320876640827585,-73.25428246296667)
1 (45.736085374239025,-73.66603620522369)
1 (45.48987254648733,-73.72833239994864)
1 (45.611818931334035,-73.66103271203326)
1 (45.48926689044655,-73.34383213690354)
1 (45.59545630566905,-73.64373743037537)
1 (45.25461397452699,-73.46439070501843)
1 (45.36145436627077,-73.74246842497669)
1 (45.56688099764036,-73.72229506560178)
1 (45.693266940674825,-73.35560188188262)
1 (45.55983908491404,-73.47745181140598)
1 (45.49750922996003,-73.55984666563083)
1 (45.261909300744286,-73.45422679282007)
1 (45.720138295853815,-73.64544498352709)
1 (45.38036434682552,-73.5000150698105)
1 (45.3513104674527,-73.32735587811162)
1 (45.590962945479895,-73.3659164923787)
1 (45.51856477945004,-73.56770918244013)
1 (45.291894370862025,-73.60081042036798)
1 (45.3715947000658,-73.31542287236653)
1 (45.617336497337504,-73.57541569871701)
1 (45.55610874060474,-73.32385717320902)
1 (45.482981482034276,-73.3125902509711)
1 (45.55914392561904,-73.54673435481202)
1 (45.55355898095842,-73.69416753619491)
1 (45.583684200292495,-73.43628351400416)
1 (45.28068763005111,-73.74304505706823)
1 (45.37654930064647,-73.27567524383177)
1 (45.55831121787709,-73.54203307263171)
1 (45.59025777919186,-73.47029135847413)
1 (45.58252684075102,-73.44813976219618)
1 (45.30693124800665,-73.49923058608444)
1 (45.68278796914528,-73.59251178579066)
1 (45.29029504821926,-73.48968128606433)
1 (45.71226639948099,-73.72216754918843)
1 (45.360444030869424,-73.62239799946487)
1 (45.54658256420856,-73.73995300299553)
1 (45.50528026109594,-73.30649902528646)
1 (45.342164623813034,-73.33381813954465)
1 (45.452392764556514,-73.27615746239269)
1 (45.4481724890297,-73.35555517965317)
1 (45.42563781761116,-73.46048907867146)
1 (45.74922370324945,-73.61255729267212)
1 (45.701791286610764,-73.6610453491955)
1 (45.740083924028205,-73.47394991784644)
1 (45.364383375973304,-73.73880089119658)
1 (45.29803545213119,-73.66461450346316)
1 (45.3241885846251,-73.66437962439272)
1 (45.423813254070566,-73.32716751999125)
1 (45.73883285487859,-73.42149473855694)
1 (45.66779824105898,-73.37287569599594)
1 (45.417592377294675,-73.37418298016306)
1 (45.54458396203827,-73.31778105695278)
1 (45.64169745603078,-73.31339392119314)
1 (45.46608318028429,-73.70997785084488)
1 (45.56531759665201,-73.48785092293424)
1 (45.591016678613585,-73.39802577169193)
1 (45.48789270559757,-73.49783033986219)
1 (45.49692771234622,-73.26890242711784)
1 (45.30458809500241,-73.48861151514696)
1 (45.72979078118391,-73.69669066745182)
1 (45.34838984277736,-73.62283022120285)
1 (45.5758347358403,-73.29036434906816)
1 (45.63471967097148,-73.33782381910927)
1 (45.33037555664832,-73.61057924684167)
1 (45.70743750553356,-73.4052869386973)
1 (45.409255309561914,-73.34129365309215)
1 (45.363712473686455,-73.30616178997228)
1 (45.35990909378458,-73.45233618004761)
1 (45.50448191128481,-73.41366775335952)
1 (45.68113320419645,-73.6737064271243)
1 (45.717080965184735,-73.44173056416024)
1 (45.3533029013338,-73.62143677539508)
1 (45.44711363534506,-73.56480134877202)
1 (45.61408930237031,-73.66826207491096)
1 (45.25774961555544,-73.54816199086851)
1 (45.28865065215414,-73.64013626518592)
1 (45.7063692035286,-73.64529303322978)
1 (45.3978239838497,-73.64180375696665)
1 (45.29084230601634,-73.42073629708352)
1 (45.323018852160516,-73.27117558259447)
1 (45.73071538937235,-73.54311462144908)
1 (45.50231576864734,-73.67317883580309)
1 (45.55219373736661,-73.46357672256221)
1 (45.468697778522305,-73.30904068352392)
1 (45.54004469688592,-73.74991556685136)
1 (45.51839406052635,-73.47663618096024)
1 (45.6044108003913,-73.68596406365356)
1 (45.41499075778215,-73.51157214508633)
1 (45.48600979634744,-73.56960257667195)
1 (45.29326443874991,-73.72709735141922)
1 (45.48931222428436,-73.45081792887251)
1 (45.3256199011252,-73.51372206853098)
1 (45.590025233868054,-73.3437342920798)
1 (45.25356438154418,-73.61659835818952)
1 (45.31057445594092,-73.72339164138344)
1 (45.56682637118718,-73.44025494005305)
1 (45.69526457339852,-73.37927807556804)
1 (45.43352764933106,-73.29619896877114)
1 (45.54541191854752,-73.4432276397321)
1 (45.44624339076286,-73.30918960024191)
1 (45.293980952899524,-73.63927577464904)
1 (45.35083544589134,-73.73265645372422)
1 (45.509119978575356,-73.51742023375226)
1 (45.66762012368266,-73.69277896442533)
1 (45.516479239426054,-73.63196522471694)
1 (45.497732447679276,-73.38416053960663)
1 (45.52130839335091,-73.30823266011816)
1 (45.33147440352577,-73.47782449193176)
1 (45.393068021892546,-73.30890443089191)
1 (45.33998591258139,-73.47442659889718)
1 (45.44765372849648,-73.36311514173227)
1 (45.43675263787773,-73.44212224396748)
1 (45.625319294718274,-73.65764542640225)
1 (45.34126582050466,-73.51944382998894)
1 (45.41599855094266,-73.51017112266175)
1 (45.46357487497687,-73.73883741264677)
1 (45.72796433561534,-73.5495044157678)
1 (45.655524417274485,-73.63617528278185)
1 (45.63062577132117,-73.31711817792272)
1 (45.74214320027005,-73.25560416459734)
1 (45.52775353013589,-73.2779753605285)
1 (45.25495302109528,-73.53750682941087)
1 (45.333536138880596,-73.2867908629576)
1 (45.43789163971183,-73.69014775245921)
1 (45.63060847860284,-73.59833361950646)
1 (45.38609445187827,-73.49274156683559)
1 (45.5865570056884,-73.53723204308268)
1 (45.607955517535444,-73.55922566691935)
1 (45.593394514295,-73.45397677526866)
1 (45.37168905072273,-73.40793694081674)
1 (45.67311053089967,-73.58941976286081)
1 (45.40903870237474,-73.73268477887468)
1 (45.66164165186133,-73.45004932955896)
1 (45.40083243006306,-73.55538118603928)
1 (45.54346948283437,-73.26067653467722)
1 (45.661756506926224,-73.45943132259677)
1 (45.559542165615674,-73.50989820192626)
1 (45.575023238417735,-73.35650602545564)
1 (45.35232859730186,-73.53680784197795)
1 (45.601532626601575,-73.72711062106228)
1 (45.44355289491774,-73.52490594156029)
1 (45.60267880085563,-73.49753259241213)
1 (45.262519854805525,-73.67101668802026)
1 (45.2711282139106,-73.67229332609116)
1 (45.25593043531353,-73.68324849342923)
1 (45.659697004797465,-73.53214732864264)
1 (45.31369963879145,-73.63264133949679)
1 (45.63488100091322,-73.63296522719374)
1 (45.33952730891577,-73.53812440265418)
1 (45.55864237794964,-73.5005047956155)
1 (45.27983588797965,-73.40376270472758)
1 (45.619732927833496,-73.31011730118583)
1 (45.300177172114566,-73.25100229448884)
1 (45.494134634855804,-73.46885428270271)
1 (45.564323543943175,-73.49672864851867)
1 (45.41312408214091,-73.38023307509935)
1 (45.727997440946275,-73.32043362187325)
1 (45.257017694742885,-73.26908707142641)
1 (45.30655615737903,-73.44064181376625)
1 (45.47283131305973,-73.27547001542587)
1 (45.51393705320941,-73.4819773726434)
1 (45.4348873316629,-73.59250120572409)
1 (45.49878201756638,-73.35985804701438)
1 (45.328829530702436,-73.72333187838478)
1 (45.622897863139514,-73.3397837544425)
1 (45.741555604893534,-73.46708064611398)
1 (45.53707282119274,-73.64254203902348)
1 (45.38225376794099,-73.51262897639748)
1 (45.30975763732629,-73.66538375430713)
1 (45.74303022687364,-73.52258580298842)
1 (45.2552329358445,-73.57232740049191)
1 (45.53154031596013,-73.32752306821642)
1 (45.38962272672717,-73.67423126687336)
1 (45.372586856449075,-73.3227521220255)
1 (45.61547756864051,-73.67112773555928)
1 (45.58082483651802,-73.3664539061215)
1 (45.29863864050554,-73.46554487816597)
1 (45.252512649793644,-73.41889369087009)
1 (45.35470780217282,-73.37614570599116)
1 (45.510675705979054,-73.33774420351229)
1 (45.30668660027321,-73.68599601009178)
1 (45.46509894874722,-73.65420887162499)
1 (45.51021067039744,-73.54912709943372)
1 (45.31624075863966,-73.29868000787928)
1 (45.368294199882406,-73.35279045672102)
1 (45.5404614873646,-73.62308458930215)
1 (45.37361241917857,-73.69090646622969)
1 (45.74288538266352,-73.67986323875795)
1 (45.72308831267684,-73.6466900510051)
1 (45.5537659926918,-73.56469629940123)
1 (45.54691311295324,-73.60929152817423)
1 (45.37440022927925,-73.71163328251608)
1 (45.48211835272079,-73.36052137008012)
1 (45.34943759409093,-73.34520056651358)
1 (45.39943057203232,-73.66333300938332)
1 (45.653856685997276,-73.34435468297511)
1 (45.561378005838485,-73.56371846739927)
1 (45.534931771844214,-73.55781691576614)
1 (45.34948194729117,-73.58202683560849)
1 (45.542188102552856,-73.62936751796758)
1 (45.448853615214034,-73.41844629769929)
1 (45.51164544934793,-73.64509608644354)
1 (45.519630898139404,-73.73049564646851)
1 (45.64457502091486,-73.4023976163151)
1 (45.416427251702466,-73.45785195342924)
1 (45.43554587394517,-73.32267136822948)
1 (45.43932866189673,-73.5716963471395)
1 (45.25971243904526,-73.48622328356038)
1 (45.41296268712964,-73.5119903302183)
1 (45.625095834828954,-73.45878995196497)
1 (45.593776902233046,-73.4467006998537)
1 (45.43203733367208,-73.50439556800282)
1 (45.49990232680872,-73.34197134373592)
1 (45.55905299344959,-73.43892126221225)
1 (45.74284077008613,-73.67159584938615)
1 (45.71199448293661,-73.2728087838002)
1 (45.31570327112219,-73.41787538630145)
1 (45.73172169976941,-73.41973902843321)
1 (45.5588400237371,-73.32405144387825)
1 (45.454418743397056,-73.61091834131248)
1 (45.68044061082583,-73.65098398540938)
1 (45.25823532684353,-73.25177395403755)
1 (45.257046481269164,-73.46760051712374)
1 (45.610111907931106,-73.28940256047177)
1 (45.576906055143155,-73.26587254251697)
1 (45.74744713571677,-73.72503403440751)
1 (45.51771590913518,-73.43668084209463)
1 (45.590692295294375,-73.70606558813516)
1 (45.369530090438985,-73.37291198387514)
1 (45.58500810172144,-73.66688914101069)
1 (45.62348245987189,-73.68048356793008)
1 (45.4117951121955,-73.25677803187472)
1 (45.747455742463615,-73.6767262501783)
1 (45.394209442219875,-73.29651701583994)
1 (45.36094375151047,-73.53865625622265)
1 (45.444701831777,-73.74325239763337)
1 (45.50309201702165,-73.63115238603356)
1 (45.567168265700616,-73.61520733426988)
1 (45.360264794853684,-73.69690688668078)
1 (45.731476640538716,-73.53445004428401)
1 (45.38247529694798,-73.72625034601457)
1 (45.383934369119395,-73.48682082038187)
1 (45.67162878293792,-73.44555596662832)
1 (45.443688007602994,-73.57341666428961)
1 (45.368766654760954,-73.46790910321195)
1 (45.36209623459017,-73.43770026283649)
1 (45.50236300473004,-73.73908349695957)
1 (45.68979375990938,-73.6963430966335)
1 (45.38521327319349,-73.48559607646273)
1 (45.60446446465885,-73.58033034456501)
1 (45.663567871300046,-73.42971759745942)
1 (45.50126740803881,-73.60564833593173)
1 (45.528902175116194,-73.5787968607767)
1 (45.5374107780455,-73.44004308593016)
1 (45.40007726809087,-73.42311192036149)
1 (45.45254417703558,-73.71388164447929)
1 (45.57163423526088,-73.38769184873388)
1 (45.557440533141474,-73.3390658034516)
1 (45.40257829230677,-73.37915837565735)
1 (45.49486476632396,-73.4502406199661)
1 (45.58924670878637,-73.74861693971229)
1 (45.728577128389986,-73.36720852158236)
1 (45.42571863001982,-73.45598239761208)
1 (45.709094805074514,-73.49650214424142)
1 (45.705712372029495,-73.66985495079764)
1 (45.29813622821005,-73.3434876688511)
1 (45.56102952398255,-73.47016732442829)
1 (45.30759840337154,-73.29416296527934)
1 (45.56334341735085,-73.73830478839804)
1 (45.423468063009516,-73.54798284311939)
1 (45.338492545767984,-73.72125499012893)
1 (45.340243709657166,-73.53958699046095)
1 (45.25542817879185,-73.6425751248006)
1 (45.62724580037598,-73.37822370451183)
1 (45.4555783206657,-73.60356929059031)
1 (45.684618684813714,-73.25895594274337)
1 (45.582628834177854,-73.37304955301154)
1 (45.62387824716701,-73.45940372488856)
1 (45.5575853258227,-73.50340956575103)
1 (45.5255352157016,-73.42982040940205)
1 (45.61946829076919,-73.53447001999578)
1 (45.284624898214986,-73.61271772203315)
1 (45.61810675732087,-73.35466084677533)
1 (45.65389966303014,-73.49104807275242)
1 (45.70223420265432,-73.58158544832771)
1 (45.63399156529102,-73.46112002290913)
1 (45.59345384372491,-73.60086762020701)
1 (45.54002803715917,-73.45796611155913)
1 (45.574628457372214,-73.66341246930395)
1 (45.394984561064966,-73.32680023258698)
1 (45.64986345650617,-73.68681810201291)
1 (45.2614838110272,-73.7344944396044)
1 (45.55249002407885,-73.63665501734204)
1 (45.72580173503605,-73.44967332280996)
1 (45.38731834644741,-73.57768600510283)
1 (45.49051662713388,-73.5890669079595)
1 (45.69391957152532,-73.68382974969411)
1 (45.41553832499507,-73.43118105032778)
1 (45.60880801662151,-73.6787763573663)
1 (45.37117991894842,-73.63613719330988)
1 (45.58613367738202,-73.34664423128949)
1 (45.43148590236639,-73.68270151209902)
1 (45.308858385960505,-73.40392258850589)
1 (45.741205617989976,-73.54006618967934)
1 (45.48537695894533,-73.66017458423934)
1 (45.33560241596887,-73.5328637096555)
1 (45.6801584216459,-73.51558161034593)
1 (45.27871409733689,-73.53318799470739)
1 (45.67122021125675,-73.4483895827958)
1 (45.71273148215874,-73.5230640824665)
1 (45.562111808655146,-73.73467365813593)
